feature,mean_abs_shap
country_USA - Washington,2.42864962146764e-05
industry_Chemicals,2.4226533806121442e-05
industry_Not used for 2015 reporting,2.4027700831240567e-05
country_Canada - Newfoundland And Labrador,2.2884830804911795e-05
country_China - Jilin,2.280957439503143e-05
country_China - Xizang,2.2634969202975773e-05
"industry_group_Textiles, Apparel, Footwear and Luxury Goods",2.196296333555148e-05
country_China - Guizhou,2.1948303416747013e-05
country_Ukraine,2.1785766448779673e-05
country_Albania,2.1651802684189095e-05
country_USA - Minnesota,2.146735334762386e-05
country_India South Asia,2.1400037446092832e-05
country_USA - New Hampshire,2.1216461051637096e-05
country_USA - New Mexico,2.1095711484255484e-05
country_USA - Rhode Island,2.101643062318906e-05
country_Norway,2.0849915081839337e-05
industry_Polypropylene Glycol (Ppg),2.005225816325943e-05
country_USA - Maryland,1.9844857165220132e-05
country_South Korea,1.9771560405503318e-05
country_Singapore,1.9498397121531577e-05
country_USA - Nebraska,1.9200336285071047e-05
country_USA - Florida,1.9059635733464567e-05
country_Canada - Northwest Territories,1.8920353135933783e-05
country_Canada - Nova Scotia,1.8859268160084894e-05
country_China - Yunnan,1.8807712324958463e-05
country_Austria,1.8537666752919856e-05
"industry_Electronic Equipment, Instruments & Components",1.848493935800371e-05
country_Canada - Ontario,1.8367526435318412e-05
country_Poland,1.83574564637063e-05
country_United Arab Emirates,1.7840539947999105e-05
protocol_simple_Other,1.78229209667483e-05
industry_Ethylene Vinyl Acetate (Eva),1.7760207958149408e-05
country_India,1.7615218980580976e-05
country_Argentina,1.745504969152317e-05
country_Denmark,1.727224804206739e-05
country_USA - California,1.722146498931976e-05
country_Canada - Nunavut,1.709663203630226e-05
end_of_life_frac,1.659946825614258e-05
country_Malta,1.6318459506327928e-05
country_Canada - Newfoundland Labrador,1.611125157039941e-05
country_China - Inner Mongolia,1.6090948517667903e-05
country_Advanced Asia Oceania,1.59856350466038e-05
industry_Commercial Services & Supplies,1.5812887828955035e-05
country_Oman,1.5589843341287947e-05
industry_group_Food & Beverage Processing,1.5583408011815123e-05
country_Canada,1.5102026731724544e-05
country_China - Hunan,1.4745415496724514e-05
country_Thailand,1.469685639487036e-05
country_China - Hubei,1.4638422835559385e-05
country_USA - District Of Columbia,1.43948046731798e-05
country_China - Xinjiang,1.4161643335207164e-05
country_Greece,1.406062687565183e-05
company_sector_Comm. equipm. & capital goods,1.3825173074341941e-05
country_China - Fujian,1.368983832404198e-05
country_Turkey,1.3513936064257256e-05
country_Morocco,1.3431785896808936e-05
